Wall time,Step,Value
1767443184.643302,25000,0.0
1767443188.2940128,32768,57.0
1767443214.4412606,50000,1.0
1767443221.491041,65536,15.0
1767443241.3936856,75000,4.0
1767443251.1439905,98304,3.0
1767443267.8540957,100000,5.0
1767443283.992272,125000,11.0
1767443286.5964773,131072,100.0
1767443310.3720484,150000,21.0
1767443316.2455723,163840,40.0
1767443336.5329132,175000,26.0
1767443345.520836,196608,13.0
1767443362.554175,200000,54.0
1767443378.9422712,225000,61.0
1767443380.8621428,229376,0.0
1767443404.8477542,250000,85.0
1767443410.1720276,262144,84.0
1767443430.8631778,275000,98.0
1767443439.246736,294912,33.0
1767443456.895014,300000,120.0
1767443474.1529295,325000,0.0
1767443475.443158,327680,8.0
1767443501.055313,350000,3.0
1767443505.8173957,360448,0.0
1767443528.0148976,375000,5.0
1767443536.2528005,393216,74.0
1767443554.9690855,400000,15.0
1767443572.0860682,425000,23.0
1767443572.600963,425984,33.0
1767443598.8470528,450000,25.0
1767443602.8406668,458752,5.0
1767443625.838065,475000,47.0
1767443633.2587602,491520,116.0
1767443652.647077,500000,57.0
1767443663.541173,524288,71.0
1767443679.8135974,525000,78.0
1767443696.8969095,550000,102.0
1767443700.1537273,557056,28.0
1767443724.0298862,575000,123.0
1767443730.7065685,589824,3.0
1767443751.362806,600000,143.0
1767443761.4354215,622592,119.0
1767443778.6697211,625000,1.0
1767443794.5407531,650000,7.0
1767443796.954168,655360,71.0
1767443820.8509853,675000,19.0
1767443826.3588068,688128,22.0
1767443847.1075516,700000,23.0
1767443855.867016,720896,1.0
1767443873.4186783,725000,30.0
1767443889.285925,750000,56.0
1767443890.8854842,753664,107.0
1767443915.3464267,775000,65.0
1767443920.2128325,786432,66.0
1767443941.617139,800000,89.0
1767443949.5544178,819200,9.0
1767443967.7648902,825000,89.0
1767443983.7485213,850000,129.0
1767443984.6261804,851968,162.0
1767444009.8248348,875000,137.0
1767444013.90137,884736,96.0
1767444036.1756587,900000,136.0
1767444044.023177,917504,49.0
1767444063.1275976,925000,2.0
1767444080.035285,950000,4.0
1767444080.2340147,950272,5.0
1767444107.2881129,975000,19.0
1767444110.938026,983040,135.0
1767444134.0862257,1000000,25.0
1767444141.2555032,1015808,84.0
